title,author,average_rating,number_of_ratings,genres
"Dune (Dune, #1)",Frank Herbert,4.26,"1,203,832","['Science Fiction', 'Fiction', 'Fantasy', 'Classics', 'Science Fiction Fantasy', 'Audiobook', 'Space Opera']"
And Then There Were None,Agatha Christie,4.28,"1,212,224","['Classics', 'Fiction', 'Crime', 'Thriller', 'Mystery Thriller', 'Audiobook', 'Mystery']"
The Fountainhead,Ayn Rand,3.88,"316,094","['Fiction', 'Classics', 'Philosophy', 'Literature', 'Novels', 'Politics', 'Architecture']"
The Lovely Bones,Alice Sebold,3.84,"2,267,963","['Fiction', 'Mystery', 'Young Adult', 'Contemporary', 'Fantasy', 'Crime', 'Thriller']"
Alice in Wonderland,Jane Carruth,4.03,"385,939","['Classics', 'Fantasy', 'Fiction', 'Childrens', 'Young Adult', 'Adventure', 'Literature']"
The Call of the Wild,Jack London,3.9,"405,791","['Classics', 'Fiction', 'Adventure', 'Young Adult', 'Animals', 'Historical Fiction', 'Literature']"
"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.16,"3,029,842","['Fiction', 'Mystery', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Contemporary']"
"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,4.56,"830,217","['Fantasy', 'Fiction', 'Classics', 'Adventure', 'High Fantasy', 'Science Fiction Fantasy', 'Epic Fantasy']"
The Five People You Meet in Heaven,Mitch Albom,3.98,"680,398","['Fiction', 'Inspirational', 'Contemporary', 'Fantasy', 'Classics', 'Spirituality', 'Adult']"
Animal Farm / 1984,George Orwell,4.3,"189,591","['Classics', 'Fiction', 'Dystopia', 'Literature', 'Science Fiction', 'Politics', 'Fantasy']"
Perfume: The Story of a Murderer,Patrick Süskind,4.03,"426,648","['Fiction', 'Classics', 'Historical Fiction', 'Horror', 'Mystery', 'Thriller', 'Crime']"
"Angela's Ashes (Frank McCourt, #1)",Frank McCourt,4.14,"608,545","['Nonfiction', 'Memoir', 'Biography', 'Classics', 'Ireland', 'Autobiography', 'Biography Memoir']"
"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum,3.99,"432,338","['Classics', 'Fantasy', 'Fiction', 'Childrens', 'Young Adult', 'Adventure', 'Middle Grade']"
"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,4.47,"890,506","['Fantasy', 'Fiction', 'Classics', 'Adventure', 'High Fantasy', 'Science Fiction Fantasy', 'Epic Fantasy']"
