title,author,average_rating,number_of_ratings,genres
The Master and Margarita,Mikhail Bulgakov,4.29,"319,292","['Classics', 'Fiction', 'Russia', 'Fantasy', 'Russian Literature', 'Magical Realism', 'Literature']"
"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.07,"2,945,668","['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure']"
The Complete Sherlock Holmes,Arthur Conan Doyle,4.5,"193,917","['Classics', 'Mystery', 'Fiction', 'Crime', 'Short Stories', 'Detective', 'Literature']"
In Cold Blood,Truman Capote,4.08,"622,645","['Nonfiction', 'True Crime', 'Classics', 'Crime', 'Mystery', 'History', 'Thriller']"
The Crucible: A Play in Four Acts,Arthur  Miller,3.6,"386,469","['Classics', 'Plays', 'Fiction', 'Historical Fiction', 'School', 'Drama', 'Read For School']"
Heart of Darkness,Joseph Conrad,3.43,"486,361","['Classics', 'Fiction', 'Literature', 'Africa', 'Historical Fiction', 'School', 'Novels']"
"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,4.29,"589,768","['Fiction', 'Historical Fiction', 'Mystery', 'Fantasy', 'Books About Books', 'Historical', 'Spain']"
The Red Tent,Anita Diamant,4.19,"578,413","['Historical Fiction', 'Fiction', 'Historical', 'Religion', 'Book Club', 'Feminism', 'Adult']"
Love in the Time of Cholera,Gabriel García Márquez,3.93,"480,268","['Fiction', 'Classics', 'Historical Fiction', 'Romance', 'Magical Realism', 'Literature', 'Novels']"
The Glass Castle,Jeannette Walls,4.3,"1,119,680","['Nonfiction', 'Memoir', 'Biography', 'Biography Memoir', 'Autobiography', 'Book Club', 'Adult']"
The Gift of the Magi,O. Henry,4.1,"92,114","['Classics', 'Short Stories', 'Fiction', 'Christmas', 'Romance', 'Holiday', 'Literature']"
The Unbearable Lightness of Being,Milan Kundera,4.11,"428,049","['Fiction', 'Classics', 'Philosophy', 'Literature', 'Novels', 'Czech Literature', 'Romance']"
"Eat, Pray, Love",Elizabeth Gilbert,3.61,"1,679,022","['Nonfiction', 'Memoir', 'Travel', 'Biography', 'Romance', 'Chick Lit', 'Spirituality']"
"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,4.01,"558,083","['Horror', 'Fantasy', 'Fiction', 'Vampires', 'Paranormal', 'Classics', 'Gothic']"
The Canterbury Tales,Geoffrey Chaucer,3.52,"213,591","['Classics', 'Fiction', 'Poetry', 'Literature', 'School', 'Medieval', 'Short Stories']"
On the Road,Jack Kerouac,3.62,"392,511","['Classics', 'Fiction', 'Travel', 'Literature', 'Novels', 'American', 'Adventure']"
The Art of War,Sun Tzu,3.97,"444,197","['Classics', 'Nonfiction', 'Philosophy', 'History', 'War', 'Politics', 'Business']"
Aesop's Fables,Aesop,4.05,"123,172","['Classics', 'Fiction', 'Short Stories', 'Childrens', 'Fantasy', 'Literature', 'Mythology']"
The Screwtape Letters,C.S. Lewis,4.25,"412,586","['Fiction', 'Christian', 'Classics', 'Religion', 'Christianity', 'Fantasy', 'Theology']"
Fight Club,Chuck Palahniuk,4.19,"562,202","['Fiction', 'Classics', 'Contemporary', 'Thriller', 'Novels', 'Mystery', 'Adult']"
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.61,"127,381","['Fantasy', 'Fiction', 'Classics', 'Adventure', 'Science Fiction Fantasy', 'Epic Fantasy', 'High Fantasy']"
Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,3.83,"524,523","['Classics', 'Horror', 'Fiction', 'Science Fiction', 'Mystery', 'Gothic', 'Fantasy']"
Gulliver's Travels: Travels into Several Remote Nations of the World.,Jonathan Swift,3.58,"263,452","['Classics', 'Fiction', 'Fantasy', 'Adventure', 'Literature', 'Novels', '18th Century']"
"The Godfather (The Godfather, #1)",Mario Puzo,4.38,"397,516","['Fiction', 'Classics', 'Crime', 'Thriller', 'Historical Fiction', 'Mystery', 'Novels']"
Robinson Crusoe,Daniel Defoe,3.68,"291,140","['Classics', 'Fiction', 'Adventure', 'Literature', 'Historical Fiction', 'Novels', '18th Century']"
Walden,Henry David Thoreau,3.78,"181,278","['Classics', 'Philosophy', 'Nonfiction', 'Nature', 'Memoir', 'Literature', 'Biography']"
The Origin of Species,Charles Darwin,4,"110,730","['Science', 'Nonfiction', 'Classics', 'Biology', 'Evolution', 'Philosophy', 'History']"
Invisible Man,Ralph Ellison,3.91,"179,610","['Classics', 'Fiction', 'Literature', 'Race', 'Historical Fiction', 'African American', 'Novels']"
Emma,Jane Austen,4.04,"823,278","['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Historical', 'Audiobook']"
The Prince,Niccolò Machiavelli,3.83,"315,451","['Classics', 'Philosophy', 'Nonfiction', 'Politics', 'History', 'Literature', 'Political Science']"
Sophie's World,Jostein Gaarder,3.96,"246,309","['Philosophy', 'Fiction', 'Classics', 'Young Adult', 'Novels', 'Fantasy', 'Literature']"
The Complete Grimm's Fairy Tales,Jacob Grimm,4.28,"153,282","['Classics', 'Fantasy', 'Fiction', 'Fairy Tales', 'Short Stories', 'Childrens', 'Literature']"
The Trial,Franz Kafka,3.96,"294,038","['Classics', 'Fiction', 'Philosophy', 'Literature', 'German Literature', 'Novels', 'Dystopia']"
The Time Machine,H.G. Wells,3.9,"492,030","['Classics', 'Science Fiction', 'Fiction', 'Time Travel', 'Fantasy', 'Dystopia', 'Literature']"
"Watchmen (Watchmen, #1-12)",Alan Moore,4.37,"537,909","['Graphic Novels', 'Comics', 'Fiction', 'Science Fiction', 'Fantasy', 'Graphic Novels Comics', 'Comic Book']"
Roots: The Saga of an American Family,Alex Haley,4.44,"157,178","['Historical Fiction', 'Fiction', 'Classics', 'Historical', 'African American', 'Africa', 'Race']"
Candide,Voltaire,3.76,"263,371","['Classics', 'Fiction', 'Philosophy', 'France', 'Literature', 'Humor', 'French Literature']"
Beloved,Toni Morrison,3.93,"405,076","['Fiction', 'Classics', 'Historical Fiction', 'Magical Realism', 'Literature', 'Historical', 'School']"
Atonement,Ian McEwan,3.93,"498,043","['Fiction', 'Historical Fiction', 'Classics', 'Romance', 'Historical', 'War', 'Literary Fiction']"
Go Ask Alice,Beatrice Sparks,3.75,"265,454","['Young Adult', 'Fiction', 'Classics', 'Contemporary', 'Mental Health', 'Realistic Fiction', 'Teen']"
My Sister's Keeper,Jodi Picoult,4.09,"1,176,249","['Fiction', 'Contemporary', 'Chick Lit', 'Young Adult', 'Drama', 'Adult', 'Adult Fiction']"
Tuck Everlasting,Natalie Babbitt,3.89,"262,788","['Fantasy', 'Classics', 'Young Adult', 'Fiction', 'Childrens', 'Middle Grade', 'School']"
Stranger in a Strange Land,Robert A. Heinlein,3.92,"303,442","['Science Fiction', 'Fiction', 'Classics', 'Science Fiction Fantasy', 'Fantasy', 'Novels', 'Speculative Fiction']"
The Sun Also Rises,Ernest Hemingway,3.8,"420,059","['Classics', 'Fiction', 'Literature', 'Novels', 'Historical Fiction', 'American', 'Spain']"
"Divergent (Divergent, #1)",Veronica Roth,4.15,"3,707,043","['Young Adult', 'Dystopia', 'Fantasy', 'Fiction', 'Science Fiction', 'Romance', 'Adventure']"
"The Mists of Avalon (Avalon, #1)",Marion Zimmer Bradley,4.13,"202,492","['Fantasy', 'Fiction', 'Historical Fiction', 'Arthurian', 'Mythology', 'Classics', 'Historical']"
Mere Christianity,C.S. Lewis,4.35,"378,880","['Christian', 'Nonfiction', 'Religion', 'Theology', 'Christianity', 'Classics', 'Philosophy']"
The Tale of Peter Rabbit,Beatrix Potter,4.21,"238,241","['Childrens', 'Classics', 'Picture Books', 'Fiction', 'Animals', 'Fantasy', 'Short Stories']"
The Phantom Tollbooth,Norton Juster,4.19,"275,780","['Fantasy', 'Fiction', 'Classics', 'Childrens', 'Young Adult', 'Middle Grade', 'Adventure']"
The Things They Carried,Tim O'Brien,4.14,"295,046","['Fiction', 'Historical Fiction', 'Classics', 'War', 'Short Stories', 'School', 'Historical']"
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.29,"2,694,539","['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Childrens']"
"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,4.2,"557,417","['Mystery', 'Classics', 'Fiction', 'Crime', 'Mystery Thriller', 'Thriller', 'Audiobook']"
Number the Stars,Lois Lowry,4.18,"536,361","['Historical Fiction', 'Young Adult', 'Fiction', 'Classics', 'Childrens', 'Historical', 'Middle Grade']"
The Constitution of the United States of America,Founding Fathers,4.52,"27,003","['History', 'Nonfiction', 'Politics', 'Classics', 'Philosophy', 'Law', 'Reference']"
Bury My Heart at Wounded Knee: An Indian History of the American West,Dee Brown,4.24,"86,999","['History', 'Nonfiction', 'American History', 'Classics', 'Historical', 'Politics', 'Race']"
James and the Giant Peach,Roald Dahl,4.03,"450,464","['Childrens', 'Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Middle Grade', 'Adventure']"
The Complete Maus,Art Spiegelman,4.57,"199,887","['Graphic Novels', 'Comics', 'Nonfiction', 'History', 'Biography', 'Memoir', 'Historical']"
"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,4.38,"313,695","['Science Fiction', 'Fiction', 'Humor', 'Fantasy', 'Classics', 'Comedy', 'Science Fiction Fantasy']"
Middlesex,Jeffrey Eugenides,4.03,"625,185","['Fiction', 'Historical Fiction', 'Contemporary', 'LGBT', 'Literary Fiction', 'Classics', 'Novels']"
Schindler's List,Thomas Keneally,4.34,"156,966","['History', 'Nonfiction', 'Classics', 'Holocaust', 'War', 'Historical', 'World War II']"
The Autobiography of Malcolm X,Malcolm X,4.35,"254,482","['Nonfiction', 'Biography', 'History', 'Memoir', 'Autobiography', 'Race', 'Politics']"
The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury,Bill Watterson,4.64,"118,695","['Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Graphic Novels Comics', 'Comedy']"
A Little Princess,Frances Hodgson Burnett,4.22,"297,169","['Classics', 'Fiction', 'Childrens', 'Young Adult', 'Historical Fiction', 'Middle Grade', 'Historical']"
"A Child Called ""It"" (Dave Pelzer, #1)",Dave Pelzer,4.12,"419,084","['Nonfiction', 'Memoir', 'Biography', 'Psychology', 'Autobiography', 'Abuse', 'Adult']"
Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Greg Mortenson,3.66,"341,731","['Nonfiction', 'Memoir', 'Biography', 'Travel', 'Education', 'Book Club', 'Biography Memoir']"
Leaves of Grass,Walt Whitman,4.11,"98,151","['Poetry', 'Classics', 'Fiction', 'Literature', 'American', '19th Century', 'Philosophy']"
Into the Wild,Jon Krakauer,4,"1,037,235","['Travel', 'Adventure', 'Classics', 'Fiction', 'Nature', 'School', 'Biography Memoir']"
Their Eyes Were Watching God,Zora Neale Hurston,3.97,"324,281","['Classics', 'Fiction', 'Historical Fiction', 'School', 'African American', 'Literature', 'Feminism']"
The Wind in the Willows,Kenneth Grahame,4,"205,800","['Fiction', 'Fantasy', 'Childrens', 'Classics', 'Animals', 'Young Adult', 'Adventure']"
Speak,Laurie Halse Anderson,4.04,"565,317","['Young Adult', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Mental Health', 'Teen', 'Coming Of Age']"
Peter Pan,J.M. Barrie,4.04,"331,308","['Classics', 'Fantasy', 'Fiction', 'Childrens', 'Adventure', 'Young Adult', 'Middle Grade']"
The Republic,Plato,3.96,"194,607","['Philosophy', 'Classics', 'Nonfiction', 'Politics', 'History', 'School', 'Literature']"
A People's History of the United States,Howard Zinn,4.07,"232,434","['History', 'Nonfiction', 'Politics', 'American History', 'Historical', 'Social Justice', 'Classics']"
The World According to Garp,John Irving,4.1,"222,249","['Fiction', 'Classics', 'Contemporary', 'Literature', 'Novels', 'Literary Fiction', 'Humor']"
"American Gods (American Gods, #1)",Neil Gaiman,4.11,"882,736","['Fantasy', 'Fiction', 'Mythology', 'Urban Fantasy', 'Audiobook', 'Science Fiction', 'Science Fiction Fantasy']"
"Holes (Holes, #1)",Louis Sachar,3.99,"1,138,631","['Young Adult', 'Fiction', 'Middle Grade', 'Childrens', 'Classics', 'Realistic Fiction', 'School']"
Looking for Alaska,John Green,3.98,"1,485,793","['Young Adult', 'Fiction', 'Contemporary', 'Romance', 'Realistic Fiction', 'Coming Of Age', 'Teen']"
The Story of My Life,Helen Keller,4.08,"144,753","['Nonfiction', 'Biography', 'Classics', 'Memoir', 'History', 'Autobiography', 'Biography Memoir']"
The Secret Magdalene,Ki Longfellow,4.16,"4,446","['Historical Fiction', 'Fiction', 'Religion', 'Historical', 'Spirituality', 'Novels', 'Literature']"
"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,3.72,"348,692","['Fiction', 'Classics', 'Historical Fiction', 'Africa', 'School', 'Literature', 'Nigeria']"
"The Hound of the Baskervilles (Sherlock Holmes, #5)",Arthur Conan Doyle,4.13,"322,447","['Classics', 'Mystery', 'Fiction', 'Crime', 'Detective', 'Mystery Thriller', 'Thriller']"
A Short History of Nearly Everything,Bill Bryson,4.21,"366,394","['Nonfiction', 'Science', 'History', 'Audiobook', 'Humor', 'Physics', 'Popular Science']"
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,4.25,"681,446","['Fantasy', 'Fiction', 'Humor', 'Urban Fantasy', 'Comedy', 'Audiobook', 'Science Fiction Fantasy']"
The Addiction Manifesto,Jerry Weaver,4.87,"1,068","['Nonfiction', 'Self Help', 'Memoir', 'Mental Health', 'Biography']"
A Brief History of Time,Stephen Hawking,4.21,"404,709","['Science', 'Nonfiction', 'Physics', 'History', 'Classics', 'Astronomy', 'Philosophy']"
زندگی مه آلود پریا,سید مرتضی مصطفوی,3.28,990,['Fiction']
Island of the Blue Dolphins,Scott O'Dell,3.86,"322,474","['Young Adult', 'Fiction', 'Historical Fiction', 'Classics', 'Childrens', 'Middle Grade', 'Adventure']"
A Farewell to Arms,Ernest Hemingway,3.81,"305,155","['Classics', 'Fiction', 'Historical Fiction', 'War', 'Literature', 'Novels', 'American']"
Cat's Cradle,Kurt Vonnegut Jr.,4.16,"384,102","['Fiction', 'Classics', 'Science Fiction', 'Humor', 'Literature', 'Novels', 'Dystopia']"
A Separate Peace,John Knowles,3.59,"211,397","['Classics', 'Fiction', 'Young Adult', 'Historical Fiction', 'School', 'Coming Of Age', 'High School']"
Blindness,José Saramago,4.16,"265,298","['Fiction', 'Dystopia', 'Science Fiction', 'Classics', 'Novels', 'Literature', 'Portugal']"
The Complete Fairy Tales,Hans Christian Andersen,4.29,"106,278","['Classics', 'Fantasy', 'Fiction', 'Childrens', 'Fairy Tales', 'Short Stories', 'Literature']"
The Raven,Edgar Allan Poe,4.29,"132,220","['Classics', 'Poetry', 'Horror', 'Fiction', 'Short Stories', 'Gothic', 'School']"
The Shack,William Paul Young,3.81,"619,435","['Fiction', 'Christian', 'Christian Fiction', 'Religion', 'Spirituality', 'Faith', 'Inspirational']"
The God Delusion,Richard Dawkins,3.9,"260,122","['Nonfiction', 'Religion', 'Science', 'Philosophy', 'Atheism', 'Psychology', 'Spirituality']"
Fried Green Tomatoes at the Whistle Stop Cafe (Whistle Stop #1),Fannie Flagg,4.28,"295,793","['Fiction', 'Historical Fiction', 'LGBT', 'Classics', 'Chick Lit', 'Queer', 'Historical']"
Madame Bovary,Gustave Flaubert,3.7,"312,546","['Classics', 'Fiction', 'France', 'Literature', 'French Literature', 'Romance', '19th Century']"
The Joy Luck Club,Amy Tan,3.96,"668,714","['Fiction', 'Historical Fiction', 'Classics', 'China', 'Contemporary', 'Adult Fiction', 'Adult']"
Tao Te Ching,Lao Tzu,4.3,"146,590","['Philosophy', 'Nonfiction', 'Classics', 'Religion', 'Spirituality', 'Poetry', 'China']"
Sophie's Choice,William Styron,4.18,"88,572","['Fiction', 'Classics', 'Historical Fiction', 'Holocaust', 'War', 'Historical', 'World War II']"
The Neverending Story,Michael Ende,4.18,"191,513","['Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Adventure', 'German Literature']"
A Confederacy of Dunces,John Kennedy Toole,3.88,"263,865","['Fiction', 'Classics', 'Humor', 'Literature', 'Comedy', 'Novels', 'American']"
Never Let Me Go,Kazuo Ishiguro,3.84,"628,591","['Fiction', 'Science Fiction', 'Dystopia', 'Contemporary', 'Literary Fiction', 'Romance', 'Adult']"
How to Win Friends and Influence People,Dale Carnegie,4.22,"889,455","['Self Help', 'Nonfiction', 'Business', 'Psychology', 'Personal Development', 'Leadership', 'Communication']"
Extremely Loud & Incredibly Close,Jonathan Safran Foer,3.97,"411,428","['Fiction', 'Contemporary', 'Historical Fiction', 'Novels', 'Literary Fiction', 'Adult', 'Adult Fiction']"
Flow Down Like Silver,Ki Longfellow,3.98,"4,593","['Historical Fiction', 'Fiction', 'Egypt', 'Historical', 'Philosophy', 'Literature', 'Africa']"
"The Clan of the Cave Bear (Earth's Children, #1)",Jean M. Auel,4.08,"257,574","['Historical Fiction', 'Fiction', 'Fantasy', 'Historical', 'Classics', 'Romance', 'Adventure']"
"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,4.04,"385,124","['History', 'Nonfiction', 'Science', 'Anthropology', 'Sociology', 'Politics', 'Economics']"
"Angels & Demons (Robert Langdon, #1)",Dan Brown,3.93,"3,073,715","['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Suspense', 'Adventure', 'Crime']"
Tess of the D'Urbervilles,Thomas Hardy,3.82,"272,087","['Classics', 'Fiction', 'Romance', 'Literature', 'Historical Fiction', '19th Century', 'Victorian']"
The Color Purple,Alice Walker,4.26,"633,926","['Classics', 'Fiction', 'Historical Fiction', 'Feminism', 'LGBT', 'Historical', 'African American']"
"Outlander (Outlander, #1)",Diana Gabaldon,4.25,"990,607","['Historical Fiction', 'Romance', 'Fantasy', 'Fiction', 'Time Travel', 'Historical', 'Historical Romance']"
"Eclipse (The Twilight Saga, #3)",Stephenie Meyer,3.72,"1,702,478","['Young Adult', 'Fantasy', 'Romance', 'Vampires', 'Fiction', 'Paranormal', 'Paranormal Romance']"
The Tao of Pooh,Benjamin Hoff,4,"114,934","['Philosophy', 'Nonfiction', 'Spirituality', 'Religion', 'Self Help', 'Audiobook', 'Taoism']"
One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,3.97,"107,459","['Fiction', 'Classics', 'Russia', 'Historical Fiction', 'Russian Literature', 'Literature', 'Novels']"
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.15,"693,832","['Self Help', 'Nonfiction', 'Business', 'Personal Development', 'Psychology', 'Leadership', 'Productivity']"
Ulysses,James Joyce,3.75,"122,804","['Classics', 'Fiction', 'Literature', 'Novels', 'Ireland', 'Irish Literature', '20th Century']"
A Light in the Attic,Shel Silverstein,4.35,"428,435","['Poetry', 'Childrens', 'Classics', 'Fiction', 'Humor', 'Young Adult', 'Picture Books']"
Nickel and Dimed: On (Not) Getting by in America,Barbara Ehrenreich,3.65,"188,698","['Nonfiction', 'Sociology', 'Politics', 'Economics', 'Memoir', 'Social Justice', 'Poverty']"
"Breaking Dawn (The Twilight Saga, #4)",Stephenie Meyer,3.73,"1,604,343","['Fantasy', 'Young Adult', 'Romance', 'Vampires', 'Fiction', 'Paranormal', 'Paranormal Romance']"
The Jungle,Upton Sinclair,3.76,"140,340","['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Politics', 'School', 'Novels']"
"Lonesome Dove (Lonesome Dove, #1)",Larry McMurtry,4.52,"176,692","['Fiction', 'Historical Fiction', 'Westerns', 'Classics', 'Historical', 'Adventure', 'Novels']"
"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,4.52,"891,992","['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Magic', 'Science Fiction Fantasy', 'Adult']"
The Phantom of the Opera,Gaston Leroux,3.96,"228,409","['Classics', 'Fiction', 'Horror', 'Romance', 'Gothic', 'Mystery', 'Historical Fiction']"
Paradise Lost,John Milton,3.83,"157,764","['Classics', 'Poetry', 'Fiction', 'Literature', 'Religion', 'Fantasy', 'Philosophy']"
Horton Hears a Who!,Dr. Seuss,4.2,"106,453","['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Poetry', 'Fantasy', 'Animals']"
The God of Small Things,Arundhati Roy,3.95,"283,503","['Fiction', 'India', 'Historical Fiction', 'Classics', 'Contemporary', 'Literary Fiction', 'Indian Literature']"
All Creatures Great and Small / All Things Bright and Beautiful,James Herriot,4.32,"14,358","['Nonfiction', 'Classics', 'Animals', 'Memoir', 'Biography', 'Humor', 'Nature']"
"Are You There God? It's Me, Margaret",Judy Blume,3.92,"212,223","['Young Adult', 'Fiction', 'Childrens', 'Classics', 'Middle Grade', 'Coming Of Age', 'Realistic Fiction']"
